id,date,sender,place,geo_sender,recipient,place,geo_recipient
"desc004/1008","1622-05-22","Descartes, René (1596-1650)","?",,"Descartes, Joachim (1563-1640)","?",
"desc004/1009","1623-03-21","Descartes, René (1596-1650)","[Paris (fr)]","48.8566969, 2.3514616","Descartes, Pierre (1591-1660)","?",
"desc004/1010","1625-06-24","Descartes, René (1596-1650)","Poitiers (fr)","46.5802596, 0.340196","Descartes, Joachim (1563-1640)","?",
"desc004/1015","1629-07-18","Descartes, René (1596-1650)","[Franeker (nl)]","53.1886564, 5.5414628","Gibieuf, Guillaume (1591-1650)","Paris (fr)","48.8566969, 2.3514616"
"desc004/1017","1629-10-08","Descartes, René (1596-1650)","[Amsterdam (nl)]","52.3727598, 4.8936041","Mersenne, Marin (1588-1648)","Paris (fr)","48.8566969, 2.3514616"
"desc004/1023","1629-12-18","Descartes, René (1596-1650)","Amsterdam (nl)","52.3727598, 4.8936041","Mersenne, Marin (1588-1648)","Paris (fr)","48.8566969, 2.3514616"
"desc004/1024","1630-01","Descartes, René (1596-1650)","Amsterdam (nl)","52.3727598, 4.8936041","Mersenne, Marin (1588-1648)","Paris (fr)","48.8566969, 2.3514616"
"desc004/1027","1630-03-18","Descartes, René (1596-1650)","[Amsterdam (nl)]","52.3727598, 4.8936041","Mersenne, Marin (1588-1648)","[Paris (fr)]","48.8566969, 2.3514616"
"desc004/1028","1630-04-15","Descartes, René (1596-1650)","Amsterdam (nl)","52.3727598, 4.8936041","Mersenne, Marin (1588-1648)","Paris (fr)","48.8566969, 2.3514616"
"desc004/1035","1630-12-02","Descartes, René (1596-1650)","[Amsterdam (nl)]","52.3727598, 4.8936041","Ferrier, Jean (fl. 1630)","[Paris (fr)]","48.8566969, 2.3514616"
"desc004/1038","1630-12-23","Descartes, René (1596-1650)","Amsterdam (nl)","52.3727598, 4.8936041","Mersenne, Marin (1588-1648)","[Paris (fr)]","48.8566969, 2.3514616"
"desc004/1039","1631-04-15","Descartes, René (1596-1650)","Amsterdam (nl)","52.3727598, 4.8936041","Balzac, Jean Louis Guez de (1597-1654)","[Paris (fr)]","48.8566969, 2.3514616"
"desc004/1040","1631-04-25","Balzac, Jean Louis Guez de (1597-1654)","Paris (fr)","48.8566969, 2.3514616","Descartes, René (1596-1650)","[Amsterdam (nl)]","52.3727598, 4.8936041"
"desc004/1044","1631-05/1631-08","Descartes, René (1596-1650)","Amsterdam (nl)","52.3727598, 4.8936041","Villebressieu, Étienne de (fl. 1626-1656)","?",
"desc004/1043","1631-05/1631-08","Villebressieu, Étienne de (fl. 1626-1656)","?",,"Descartes, René (1596-1650)","[Amsterdam (nl)]",
"desc004/1045","1631-10","Descartes, René (1596-1650)","Amsterdam (nl)","52.3727598, 4.8936041","Mersenne, Marin (1588-1648)","[Paris (fr)]","48.8566969, 2.3514616"
"desc004/1047","1632-01","Descartes, René (1596-1650)","Amsterdam (nl)","52.3727598, 4.8936041","Golius, Jacobus (1596-1667)","[Leiden (nl)]","52.1518157, 4.4811088666204295"
"desc004/1048","1632-02-02","Descartes, René (1596-1650)","Amsterdam (nl)","52.3727598, 4.8936041","Golius, Jacobus (1596-1667)","Leiden (nl)","52.1518157, 4.4811088666204295"
